Label,Notation,Parent Notation,Sort Priority
Total,total,,1
Local Authority,local-authority,total,2
Housing association,housing-assiciation,total,3
Other public sector,other-public-sector,total,4
Private sector,private-sector,total,5
Private Registered Provider,private-registered-provider,total,6
All vacants,all-vacants,total,7
All long-term vacants,all-long-term-vacants,total,8
Local authority vacants,local-authority-vacants,total,9
Private Registered Provider vacants (general needs stock only),private-registered-provider-vacants-general-needs-stock-only,total,10
Private Registered Provider long-term vacants (general needs stock only),private-registered-provider-long-term-vacants-general-needs-stock-only,total,11
Other public sector vacants,other-public-sector-vacants,total,12
